ig_name,ig_version,resource_type,path,fhir_path,data_type,is_required,transform_kind,mapping_key,reference_target,sort_order,is_active
tw.gov.mohw.twcore,1.0.0,encounter,encounter.admitSource,Encounter.hospitalization.admitSource.coding[0].code,string,false,code_map,admit-source,,120,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.dischargeDisposition,Encounter.hospitalization.dischargeDisposition.coding[0].code,string,false,code_map,discharge-disposition,,130,true
tw.gov.mohw.twcore,1.0.0,condition,condition.clinicalStatus,Condition.clinicalStatus.coding[0].code,string,true,code_map,condition-clinical,,10,true
tw.gov.mohw.twcore,1.0.0,condition,condition.verificationStatus,Condition.verificationStatus.coding[0].code,string,false,code_map,condition-ver-status,,20,true
tw.gov.mohw.twcore,1.0.0,condition,condition.category,Condition.category[0].coding[0].code,string,true,code_map,condition-category,,30,true
tw.gov.mohw.twcore,1.0.0,condition,condition.severity,Condition.severity.coding[0].code,string,false,code_map,condition-severity,,40,true
tw.gov.mohw.twcore,1.0.0,condition,condition.conditionCode,Condition.code.coding[0].code,string,false,code_map,condition-code,,50,true
tw.gov.mohw.twcore,1.0.0,condition,condition.conditionText,Condition.code.text,string,false,copy,,,60,true
tw.gov.mohw.twcore,1.0.0,condition,condition.patientId,Condition.subject.reference,string,true,build_reference,,Patient,70,true
tw.gov.mohw.twcore,1.0.0,condition,condition.onsetDate,Condition.onsetDateTime,dateTime,false,copy,,,90,true
tw.gov.mohw.twcore,1.0.0,condition,condition.abatementDate,Condition.abatementDateTime,dateTime,false,copy,,,100,true
tw.gov.mohw.twcore,1.0.0,condition,condition.asserterId,Condition.asserter.reference,string,false,build_reference,,Patient,105,true
tw.gov.mohw.twcore,1.0.0,condition,condition.recordedDate,Condition.recordedDate,dateTime,false,copy,,,110,true
tw.gov.mohw.twcore,1.0.0,condition,condition.recorderId,Condition.recorder.reference,string,false,build_reference,,Practitioner,120,true
tw.gov.mohw.twcore,1.0.0,condition,condition.note,Condition.note[0].text,string,false,copy,,,130,true
tw.gov.mohw.twcore,1.0.0,observation,observation.status,Observation.status,string,true,code_map,observation-status,,10,true
tw.gov.mohw.twcore,1.0.0,observation,observation.categoryCode,Observation.category[0].coding[0].code,string,true,code_map,observation-category,,20,true
tw.gov.mohw.twcore,1.0.0,observation,observation.observationCode,Observation.code.coding[0].code,string,true,code_map,observation-code,,30,true
tw.gov.mohw.twcore,1.0.0,observation,observation.patientId,Observation.subject.reference,string,true,build_reference,,Patient,40,true
tw.gov.mohw.twcore,1.0.0,observation,observation.encounterId,Observation.encounter.reference,string,false,build_reference,,Encounter,50,true
tw.gov.mohw.twcore,1.0.0,observation,observation.effectiveDate,Observation.effectiveDateTime,dateTime,true,copy,,,60,true
tw.gov.mohw.twcore,1.0.0,observation,observation.performerId,Observation.performer[0].reference,string,false,build_reference,,Practitioner,70,true
tw.gov.mohw.twcore,1.0.0,observation,observation.valueQuantity,Observation.valueQuantity.value,decimal,false,copy,,,80,true
tw.gov.mohw.twcore,1.0.0,observation,observation.valueUnit,Observation.valueQuantity.code,string,false,code_map,unitsofmeasure,,90,true
tw.gov.mohw.twcore,1.0.0,observation,observation.dataAbsentReason,Observation.dataAbsentReason.coding[0].code,string,false,copy,,,100,true
tw.gov.mohw.twcore,1.0.0,observation,observation.systolicValue,Observation.component[0].valueQuantity.value,decimal,false,copy,,,110,true
tw.gov.mohw.twcore,1.0.0,observation,observation.systolicValue,Observation.component[0].code.coding[0].system,string,false,constant,http://loinc.org,,111,true
tw.gov.mohw.twcore,1.0.0,observation,observation.systolicValue,Observation.component[0].code.coding[0].code,string,false,constant,8480-6,,112,true
tw.gov.mohw.twcore,1.0.0,observation,observation.systolicValue,Observation.component[0].valueQuantity.unit,string,false,constant,mmHg,,113,true
tw.gov.mohw.twcore,1.0.0,observation,observation.systolicValue,Observation.component[0].valueQuantity.system,string,false,constant,http://unitsofmeasure.org,,114,true
tw.gov.mohw.twcore,1.0.0,observation,observation.systolicValue,Observation.component[0].valueQuantity.code,string,false,constant,mm[Hg],,115,true
tw.gov.mohw.twcore,1.0.0,observation,observation.diastolicValue,Observation.component[1].valueQuantity.value,decimal,false,copy,,,120,true
tw.gov.mohw.twcore,1.0.0,observation,observation.diastolicValue,Observation.component[1].code.coding[0].system,string,false,constant,http://loinc.org,,121,true
tw.gov.mohw.twcore,1.0.0,observation,observation.diastolicValue,Observation.component[1].code.coding[0].code,string,false,constant,8462-4,,122,true
tw.gov.mohw.twcore,1.0.0,observation,observation.diastolicValue,Observation.component[1].valueQuantity.unit,string,false,constant,mmHg,,123,true
tw.gov.mohw.twcore,1.0.0,observation,observation.diastolicValue,Observation.component[1].valueQuantity.system,string,false,constant,http://unitsofmeasure.org,,124,true
tw.gov.mohw.twcore,1.0.0,observation,observation.diastolicValue,Observation.component[1].valueQuantity.code,string,false,constant,mm[Hg],,125,true
tw.gov.mohw.twcore,1.0.0,observation,observation.rangeLow,Observation.referenceRange[0].low.value,decimal,false,copy,,,130,true
tw.gov.mohw.twcore,1.0.0,observation,observation.rangeHigh,Observation.referenceRange[0].high.value,decimal,false,copy,,,140,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.status,Procedure.status,string,true,code_map,event-status,,10,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.statusReason,Procedure.statusReason.coding[0].code,string,false,copy,,,20,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.category,Procedure.category.coding[0].code,string,false,code_map,procedure-category,,30,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.procedureCode,Procedure.code.coding[0].code,string,true,code_map,procedure-code,,40,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.procedureText,Procedure.code.text,string,false,copy,,,50,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.patientId,Procedure.subject.reference,string,true,build_reference,,Patient,60,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.encounterId,Procedure.encounter.reference,string,false,build_reference,,Encounter,70,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.performedDate,Procedure.performedDateTime,dateTime,false,copy,,,80,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.locationId,Procedure.location.reference,string,false,build_reference,,Location,90,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.performerId,Procedure.performer[0].actor.reference,string,false,build_reference,,Practitioner,100,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.performerFunction,Procedure.performer[0].function.coding[0].code,string,false,code_map,procedure-performer-function,,110,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.bodySite,Procedure.bodySite[0].coding[0].code,string,false,copy,,,120,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.reasonCode,Procedure.reasonCode[0].coding[0].code,string,false,code_map,condition-code,,130,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.outcome,Procedure.outcome.coding[0].code,string,false,code_map,procedure-outcome,,140,true
tw.gov.mohw.twcore,1.0.0,procedure,procedure.complication,Procedure.complication[0].coding[0].code,string,false,copy,,,150,true
tw.gov.mohw.twcore,1.0.0,medication,medication.code,Medication.code.coding[0].code,string,true,code_map,medication-code,,10,true
tw.gov.mohw.twcore,1.0.0,medication,medication.display,Medication.code.text,string,false,copy,,,20,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.idSystem,MedicationRequest.identifier[0].system,string,false,copy,,,1,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.id,MedicationRequest.identifier[0].value,string,false,copy,,,2,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.status,MedicationRequest.status,string,true,code_map,medicationrequest-status,,10,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.intent,MedicationRequest.intent,string,true,code_map,medicationrequest-intent,,20,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.medicationId,MedicationRequest.medicationReference.reference,string,true,build_reference,,Medication,30,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.patientId,MedicationRequest.subject.reference,string,true,build_reference,,Patient,40,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.encounterId,MedicationRequest.encounter.reference,string,false,build_reference,,Encounter,50,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.authoredOn,MedicationRequest.authoredOn,dateTime,false,copy,,,60,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.requesterId,MedicationRequest.requester.reference,string,false,build_reference,,Practitioner,70,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.reasonReferenceId,MedicationRequest.reasonReference[0].reference,string,false,build_reference,,Condition,80,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.dosageText,MedicationRequest.dosageInstruction[0].text,string,false,copy,,,90,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.frequency,MedicationRequest.dosageInstruction[0].timing.repeat.frequency,integer,false,copy,,,100,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.period,MedicationRequest.dosageInstruction[0].timing.repeat.period,decimal,false,copy,,,110,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.periodUnit,MedicationRequest.dosageInstruction[0].timing.repeat.periodUnit,string,false,copy,,,120,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.timingCode,MedicationRequest.dosageInstruction[0].timing.code.coding[0].code,string,false,code_map,medicationrequest-timing-code,,121,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.routeCode,MedicationRequest.dosageInstruction[0].route.coding[0].code,string,false,code_map,medicationrequest-route-code,,122,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.doseValue,MedicationRequest.dosageInstruction[0].doseAndRate[0].doseQuantity.value,decimal,false,copy,,,130,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.doseCode,MedicationRequest.dosageInstruction[0].doseAndRate[0].doseQuantity.code,string,false,code_map,unitsofmeasure,,140,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.durationValue,MedicationRequest.dispenseRequest.expectedSupplyDuration.value,decimal,false,copy,,,150,true
tw.gov.mohw.twcore,1.0.0,medicationrequest,medicationrequest.durationCode,MedicationRequest.dispenseRequest.expectedSupplyDuration.code,string,false,code_map,unitsofmeasure,,160,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.status,DiagnosticReport.status,string,true,code_map,diagnosticreport-status,,10,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.categoryCode,DiagnosticReport.category[0].coding[0].code,string,false,code_map,diagnosticreport-category,,20,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.categoryText,DiagnosticReport.category[0].text,string,false,copy,,,21,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.reportCode,DiagnosticReport.code.coding[0].code,string,true,code_map,diagnosticreport-code,,30,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.reportText,DiagnosticReport.code.text,string,false,copy,,,31,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.subjectId,DiagnosticReport.subject.reference,string,true,build_reference,,Patient,40,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.encounterId,DiagnosticReport.encounter.reference,string,false,build_reference,,Encounter,50,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.effectiveDateTime,DiagnosticReport.effectiveDateTime,dateTime,false,copy,,,60,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.issued,DiagnosticReport.issued,instant,false,copy,,,70,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.performerId,DiagnosticReport.performer[0].reference,string,false,build_reference,,Organization,80,true
